STRUCTURE	STATE_NUM	STATE_NAME	STATE_TYPE	YRT_NLP	HAS_STAT_NPV	HAS_STAT_CSV	TOTAL_ACCOUNT	HAS_ANNUITY	NPV_NP_BASIS	NPV_CALC_TYPE	CSV_CALC_TYPE	IS_RENEWAL	RENEWAL_YEAR	BASE/RIDER	PREMIUM_ROUND
All	All	All	All	All	All	All	All	All	All	All	All	All	All	All	All
PROT01	0	NONE	NONE	NLP	0	0	0	0	ANNUAL	0	0	0	0	B	6
PROT02	0	NONE	NONE	NLP	0	0	0	0	PAYMODE	0	0	0	0	B	6
PROT03	0	NONE	NONE	NLP	0	1	0	0	ANNUAL	0	0	0	0	B	6
PROT04	0	NONE	NONE	NLP	0	1	0	0	PAYMODE	0	0	0	0	B	6
PROT05	0	NONE	NONE	NLP	1	1	0	0	ANNUAL	0	0	0	0	B	5
PROT06	0	NONE	NONE	NLP	1	1	0	0	PAYMODE	0	0	0	0	B	5
PROT07	0	NONE	NONE	NLP	0	0	0	0	ANNUAL	0	1	0	0	B	5
PROT08	0	NONE	NONE	NLP	0	0	0	0	PAYMODE	0	1	0	0	B	5
PROT09	0	NONE	NONE	NLP	0	1	0	0	ANNUAL	0	1	0	0	B	5
PROT10	0	NONE	NONE	NLP	0	1	0	0	PAYMODE	0	1	0	0	B	5
PROT11	0	NONE	NONE	NLP	1	1	0	0	ANNUAL	0	1	0	0	B	5
PROT12	0	NONE	NONE	NLP	1	1	0	0	PAYMODE	0	1	0	0	B	5
PROT13	0	NONE	NONE	NLP	0	0	0	0	ANNUAL	1	0	0	0	B	5
PROT14	0	NONE	NONE	NLP	0	0	0	0	PAYMODE	1	0	0	0	B	5
PROT15	0	NONE	NONE	NLP	0	1	0	0	ANNUAL	1	0	0	0	B	5
PROT16	0	NONE	NONE	NLP	0	1	0	0	PAYMODE	1	0	0	0	B	5
PROT17	0	NONE	NONE	NLP	1	1	0	0	ANNUAL	1	0	0	0	B	5
PROT18	0	NONE	NONE	NLP	1	1	0	0	PAYMODE	1	0	0	0	B	5
PROT19	0	NONE	NONE	NLP	0	0	0	0	ANNUAL	1	1	0	0	B	5
PROT20	0	NONE	NONE	NLP	0	0	0	0	PAYMODE	1	1	0	0	B	5
PROT21	0	NONE	NONE	NLP	0	1	0	0	ANNUAL	1	1	0	0	B	5
PROT22	0	NONE	NONE	NLP	0	1	0	0	PAYMODE	1	1	0	0	B	5
PROT23	0	NONE	NONE	NLP	1	1	0	0	ANNUAL	1	1	0	0	B	5
PROT24	0	NONE	NONE	NLP	1	1	0	0	PAYMODE	1	1	0	0	B	5
SAVE01	0	NONE	NONE	YRT	0	0	1	0	NA	0	0	0	0	B	5
SAVE02	0	NONE	NONE	YRT	0	0	1	1	NA	0	0	0	0	B	5
SAVE03	0	NONE	NONE	NLP	0	0	1	0	ANNUAL	0	0	0	0	B	5
SAVE04	0	NONE	NONE	NLP	0	0	1	1	ANNUAL	0	0	0	0	B	5
