PLAN_CODE	CODE_TO_MAP	CODE_TO_MAP	CODE_TO_MAP	CODE_TO_MAP	CODE_TO_MAP	CODE_TO_MAP	TOTAL_STATE	IS_RP_DEDUCT	ALPHA_BASIS	ALPHA_BT	ALPHA_FA	FACTOR	MID_YEAR_ADJ	REP_MAP	Description
ALL	STRUCTURE	BENEFIT_RISK	BENEFIT_SURV	RISKRATE	INTEREST	LOADING	All	All	All	All	All	All	All	All	All
440021	PROT11	440501	-1	440022	440022	440022	1	1	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3건강보험(보장성) 순수보장형 80세만기
440022	PROT11	440501	-1	440022	440022	440022	1	1	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3건강보험(보장성) 순수보장형 100세만기
540024	PROT08	440501	540024	440022	440022	440022	1	0	PRI	20	1	1	0	REPRICE	(무) 행복knowhow Top3건강보험(보장성) 건강관리자금형 100세만기
440031	PROT11	440501	-1	440031	440031	440031	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 순수보장형 80세만기
440032	PROT11	440501	-1	440031	440031	440031	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 순수보장형 100세만기
440033	PROT11	440501	-1	440031	440031	440031	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 순수보장형 80세만기
440034	PROT11	440501	-1	440031	440031	440031	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 순수보장형 100세만기
540031	PROT12	440501	540034	440031	440031	440031	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 순수보장형 80세만기
540032	PROT12	440501	540034	440031	440031	440031	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 순수보장형 100세만기
540033	PROT12	440501	540034	440031	440031	440031	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 순수보장형 80세만기
540034	PROT12	440501	540034	440031	440031	440031	1	0	RES	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 종합보장형 순수보장형 100세만기
440501	PROT07	440501	-1	440501	440501	440501	1	0	PRI	20	1	1	0	REPRESNTATIVE	(무)걱정말아요 Top3 건강보험(보장성) 3대질병보장형 순수보장형 80세만기
540504	PROT08	440501	540504	440501	440501	540504	1	0	PRI	20	1	1	0	REPRICE	(무)걱정말아요 Top3 건강보험(보장성) 3대질병보장형 건강관리자금형 즉시 지급형 100세만기
540041	PROT08	440501	540041	440501	440501	540504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 건강관리자금형 즉시 지급형 80세만기
540042	PROT08	440501	540042	440501	440501	540504	1	0	PRI	20	1	1	0	REPRICE	(무)행복knowhow Top3 플러스건강보험(보장성) 3대질병보장형 건강관리자금형 5년 거치 지급형 80세만기
