BENEFIT_NAME	CATEGORY	VERSION	BENEFIT_TYPE	APPLIEDTO	CONVERT_RATE	WAITING_TYPE	WAITING_PER	FACTOR_INIT_YR	FACTOR_Y1_PRJ	FACTOR_TYPE	FACTOR
NPVBEN_INFO에서 지정한 이름	NPVBEN_INFO에서 지정한 이름	급부버젼	급부의 종류	급부의 지급기준(FACE: 가입금액ROP: 기납입보험료GP: 영업보험료Fixed: 고정액ANNUITY:연액)		부담보종류(W_MONTHS: 월별 부담보)	부담보기간			급부율 유형(VARYING: 변동FLAT: 고정)	급부율(기간별 급부율은 명칭 작성후 FACTOR_TABLE에 입력,xx: 급부율)
사망	일반사망	V00	Death	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	FLAT	100
사망	일반사망	V01	Death	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	VARY_BY_AGE	100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 
사망	확정연금	V02	Death	ANN_PAYMENT	EXPONENTIAL	W_NA	0	50 50 100 	50	FLAT	100
사망	확정연금	V02	Death	ANN_PAYMENT	EXPONENTIAL	W_NA	0	150 150 100 	150	FLAT	100
사망	암사망	V03	Diagnosis	Face	EXPONENTIAL	W_DAYS	90	50 50 100 	50	FLAT	100
사망	생활자금	V00	Death	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	VARY_BY_AGE	100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 95 90 85 80 75 70 65 60 55 50 45 40 35 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 
사망	생활자금	V01	Death	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	VARY_BY_AGE	100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 95 90 85 80 75 70 65 60 55 50 45 40 35 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 
사망	생활자금	V02	Death	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	VARY_BY_AGE	100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 95 90 85 80 75 70 65 60 55 50 45 40 35 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 
사망	생활자금	V03	Death	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	VARY_BY_AGE	100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 95 90 85 80 75 70 65 60 55 50 45 40 35 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 
사망	생활자금	V04	Death	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	VARY_BY_AGE	100 
10%_SP_RIDER	10%_SP_RIDER	V00	Death	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	SET_BY_ANN_AGE	100
100%_SA	100%_SA	V00	Death	Face	EXPONENTIAL	W_NA	0	100 100 100 	100	FLAT	100
장해	재해장해	V00	Disability	Face	UNIFORM	W_NA	0	100 100 100 	100	FLAT	100
장해	확정연금	V00	Disability	ANN_PAYMENT	EXPONENTIAL	W_NA	0	100 100 100 	100	FLAT	100
암제외진단비	뇌출혈|뇌경색	V00	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
암제외진단비	뇌출혈 	V00	Diagnosis	Face	EXPONENTIAL	W_NA	0	50 100 100 	50	FLAT	100
