* このシートは、インプットデータの保険種類コードを算出方法書単位の保険種類コードに変換するテーブルです。			
* 			
* 「用語の定義」			
* OriginalProdCode=インプットデータの保険種類記号			
* Note=商品正式名称			
* ProdCode=変換後保険種類記号			
* IsVA = 変額年金指定（Y/N)			
OriginalProdCode	Note	ProdCode	IsVA
ﾁ1	終身保険	WL01	N
ﾁA	終身保険	WL01	N
ﾁ2	終身保険	WL01	N
ﾁB	終身保険	WL01	N
ﾂ2	終身保険	WL01	N
ﾂB	終身保険	WL01	N
ﾁ3	終身保険	WL01	N
ﾁC	終身保険	WL01	N
ﾂ3	終身保険	WL01	N
ﾂC	終身保険	WL01	N
ﾁ5	終身保険	WL01	N
ﾁE	終身保険	WL01	N
ﾂ5	終身保険	WL01	N
ﾂE	終身保険	WL01	N
ﾁ7	終身保険	WL01	N
ﾁG	終身保険	WL01	N
ﾁ8	終身保険	WL01	N
ﾁH	終身保険	WL01	N
ﾂ7	終身保険	WL01	N
ﾂG	終身保険	WL01	N
ﾂ8	終身保険	WL01	N
ﾂH	終身保険	WL01	N
ﾁ0	終身保険	WL01	N
ﾁK	終身保険	WL01	N
ﾂ0	終身保険	WL01	N
ﾂK	終身保険	WL01	N
ﾁN	終身保険	WL01	N
ﾁP	終身保険	WL01	N
ﾁQ	終身保険	WL01	N
ﾁR	終身保険	WL01	N
ﾂN	終身保険	WL01	N
ﾂP	終身保険	WL01	N
ﾂQ	終身保険	WL01	N
ﾂR	終身保険	WL01	N
ﾁU	終身保険	WL01	N
ﾁｵ	終身保険	WL01	N
ﾁV	終身保険	WL01	N
ﾁｶ	終身保険	WL01	N
ﾂU	終身保険	WL01	N
ﾂｵ	終身保険	WL01	N
ﾂV	終身保険	WL01	N
ﾂｶ	終身保険	WL01	N
ﾁY	終身保険	WL01	N
ﾁｹ	終身保険	WL01	N
ﾁZ	終身保険	WL01	N
ﾁｺ	終身保険	WL01	N
ﾁｱ	終身保険	WL01	N
ﾁｻ	終身保険	WL01	N
ﾁｲ	終身保険	WL01	N
ﾁｼ	終身保険	WL01	N
ﾂY	終身保険	WL01	N
ﾂｹ	終身保険	WL01	N
ﾂZ	終身保険	WL01	N
ﾂｺ	終身保険	WL01	N
ﾂｱ	終身保険	WL01	N
ﾂｻ	終身保険	WL01	N
ﾂｲ	終身保険	WL01	N
ﾂｼ	終身保険	WL01	N
ﾁﾍ	終身保険	WL01	N
ﾁﾏ	終身保険	WL01	N
ﾁﾎ	終身保険	WL01	N
ﾁﾐ	終身保険	WL01	N
ﾑ0	終身保険	WL01	N
ﾑ1	終身保険	WL01	N
ﾑ2	終身保険	WL01	N
ﾑ3	終身保険	WL01	N
ﾂﾍ	終身保険	WL01	N
ﾂﾎ	終身保険	WL01	N
ﾑG	終身保険	WL01	N
ﾑH	終身保険	WL01	N
ﾑJ	終身保険	WL01	N
ﾑK	終身保険	WL01	N
ﾂﾕ	終身保険	WL01	N
ﾂﾖ	終身保険	WL01	N
ﾂﾗ	終身保険	WL01	N
ﾂﾘ	終身保険	WL01	N
ﾁﾃ	５年ごと利差配当付終身保険	WL02	N
ﾁﾄ	５年ごと利差配当付終身保険	WL02	N
ﾂﾃ	５年ごと利差配当付終身保険	WL02	N
ﾂﾄ	５年ごと利差配当付終身保険	WL02	N
ﾁﾇ	５年ごと利差配当付終身保険	WL02	N
ﾁﾈ	５年ごと利差配当付終身保険	WL02	N
ﾁﾉ	５年ごと利差配当付終身保険	WL02	N
ﾁﾊ	５年ごと利差配当付終身保険	WL02	N
ﾂﾇ	５年ごと利差配当付終身保険	WL02	N
ﾂﾈ	５年ごと利差配当付終身保険	WL02	N
ﾂﾉ	５年ごと利差配当付終身保険	WL02	N
ﾂﾊ	５年ごと利差配当付終身保険	WL02	N
ﾁﾑ	５年ごと利差配当付終身保険	WL02	N
ﾁﾒ	５年ごと利差配当付終身保険	WL02	N
ﾑ8	５年ごと利差配当付終身保険	WL02	N
ﾑL	５年ごと利差配当付終身保険	WL02	N
ﾑ9	５年ごと利差配当付終身保険	WL02	N
ﾑM	５年ごと利差配当付終身保険	WL02	N
ﾑ4	５年ごと利差配当付終身保険	WL02	N
